GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
quarkus-application,com.epita.exchange.error,ErrorCode.RuntimeError,41,0,0,0,9,0,6,0,6,0
quarkus-application,com.epita.exchange.error,ErrorCode,11,0,0,0,2,0,2,0,2,0
quarkus-application,com.epita.exchange.auth.service.entity,AuthEntity,124,0,22,0,6,0,21,0,10,0
quarkus-application,com.epita.exchange.redis.service,RedisPublisher,49,0,0,0,13,0,3,0,3,0
quarkus-application,com.epita.repo_social.repository.model,LikeModel,102,0,0,0,12,0,20,0,20,0
quarkus-application,com.epita.exchange.s3.service,S3Service,198,0,2,0,48,0,7,0,6,0
quarkus-application,com.epita.exchange.error.controller.response,ErrorResponse,21,0,0,0,4,0,4,0,4,0
quarkus-application,com.epita.repo_social,RepoSocialErrorCode,73,0,4,0,15,0,7,0,5,0
quarkus-application,com.epita.exchange.redis.command,FollowCommand,60,0,0,0,9,0,12,0,12,0
quarkus-application,com.epita.exchange.redis.command,LikeCommand.LikeCommandBuilder,45,0,0,0,1,0,7,0,7,0
quarkus-application,com.epita.exchange.redis.command,LikeCommand,60,0,0,0,9,0,12,0,12,0
quarkus-application,com.epita.exchange.redis.command,FollowCommand.FollowCommandBuilder,45,0,0,0,1,0,7,0,7,0
quarkus-application,com.epita.exchange.redis.command,BlockCommand,60,0,0,0,9,0,12,0,12,0
quarkus-application,com.epita.exchange.redis.command,BlockCommand.BlockCommandBuilder,45,0,0,0,1,0,7,0,7,0
quarkus-application,com.epita.exchange.error.service,RuntimeExceptionMapper,18,0,0,0,7,0,2,0,2,0
quarkus-application,com.epita.exchange.error.service,GlobalErrorMapper,6,0,0,0,2,0,2,0,2,0
quarkus-application,com.epita.exchange.redis.aggregate,PostAggregate.PostAggregateBuilder,108,0,0,0,1,0,14,0,14,0
quarkus-application,com.epita.exchange.redis.aggregate,UserAggregate,363,0,18,0,14,0,40,0,31,0
quarkus-application,com.epita.exchange.redis.aggregate,UserAggregate.UserAggregateBuilder,90,0,0,0,1,0,12,0,12,0
quarkus-application,com.epita.exchange.redis.aggregate,PostAggregate,485,0,22,0,16,0,48,0,37,0
quarkus-application,com.epita.exchange.utils,Logger,4,0,0,0,1,0,1,0,1,0
quarkus-application,com.epita.exchange.utils,Converter,17,0,2,0,4,0,3,0,2,0
quarkus-application,com.epita.repo_social.service,SocialService,70,0,2,0,11,0,4,0,3,0
quarkus-application,com.epita.repo_social.controller,RepoSocialController,13,0,0,0,4,0,2,0,2,0
quarkus-application,com.epita.exchange.auth.service,AuthService,35,0,4,0,7,0,6,0,4,0
quarkus-application,com.epita.exchange.auth.service,AuthFilter,95,0,10,0,20,0,8,0,3,0
quarkus-application,com.epita.exchange.auth.service,AuthContext,10,0,0,0,4,0,3,0,3,0
