GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
quarkus-application,com.epita.repo_user.controller,RepoUserController,108,0,0,0,20,0,8,0,8,0
quarkus-application,com.epita.exchange.error,ErrorCode.RuntimeError,41,0,0,0,9,0,6,0,6,0
quarkus-application,com.epita.exchange.error,ErrorCode,11,0,0,0,2,0,2,0,2,0
quarkus-application,com.epita.repo_user.converter,UserModelToUserAggregateConverter,32,0,0,0,10,0,2,0,2,0
quarkus-application,com.epita.repo_user.converter,UserModelToUserEntityConverter,32,0,0,0,10,0,2,0,2,0
quarkus-application,com.epita.exchange.auth.service.entity,AuthEntity,124,0,22,0,6,0,21,0,10,0
quarkus-application,com.epita.exchange.redis.service,RedisPublisher,49,0,0,0,13,0,3,0,3,0
quarkus-application,com.epita.exchange.s3.service,S3Service,214,0,4,0,46,0,9,0,7,0
quarkus-application,com.epita.repo_user.controller.request,LoginRequest,52,0,4,0,5,0,10,0,8,0
quarkus-application,com.epita.repo_user.controller.request,CreateUserRequest,81,0,6,0,6,0,14,0,11,0
quarkus-application,com.epita.repo_user.controller.request,UploadImageRequest,26,0,0,0,5,0,6,0,6,0
quarkus-application,com.epita.repo_user.controller.request,ModifyUserRequest,81,0,6,0,6,0,14,0,11,0
quarkus-application,com.epita.exchange.error.controller.response,ErrorResponse,21,0,0,0,4,0,4,0,4,0
quarkus-application,com.epita.exchange.redis.command,FollowCommand,60,0,0,0,9,0,12,0,12,0
quarkus-application,com.epita.exchange.redis.command,LikeCommand.LikeCommandBuilder,54,0,0,0,1,0,8,0,8,0
quarkus-application,com.epita.exchange.redis.command,LikeCommand,72,0,0,0,10,0,14,0,14,0
quarkus-application,com.epita.exchange.redis.command,FollowCommand.FollowCommandBuilder,45,0,0,0,1,0,7,0,7,0
quarkus-application,com.epita.exchange.redis.command,BlockCommand,60,0,0,0,9,0,12,0,12,0
quarkus-application,com.epita.exchange.redis.command,BlockCommand.BlockCommandBuilder,45,0,0,0,1,0,7,0,7,0
quarkus-application,com.epita.repo_user.service,UserService,410,0,30,0,80,0,26,0,11,0
quarkus-application,com.epita.repo_user.service.entity,UserEntity,569,0,82,0,12,0,71,0,30,0
quarkus-application,com.epita.exchange.error.service,RuntimeExceptionMapper,18,0,0,0,7,0,2,0,2,0
quarkus-application,com.epita.exchange.error.service,GlobalErrorMapper,6,0,0,0,2,0,2,0,2,0
quarkus-application,com.epita.repo_user.repository.model,UserModel,102,0,0,0,12,0,20,0,20,0
quarkus-application,com.epita.exchange.redis.aggregate,PostAggregate.PostAggregateBuilder,108,0,0,0,1,0,14,0,14,0
quarkus-application,com.epita.exchange.redis.aggregate,UserAggregate,363,0,18,0,14,0,40,0,31,0
quarkus-application,com.epita.exchange.redis.aggregate,UserAggregate.UserAggregateBuilder,90,0,0,0,1,0,12,0,12,0
quarkus-application,com.epita.exchange.redis.aggregate,PostAggregate,485,0,22,0,16,0,48,0,37,0
quarkus-application,com.epita.repo_user,RepoUserErrorCode,97,0,4,0,18,0,7,0,5,0
quarkus-application,com.epita.exchange.utils,Logger,4,0,0,0,1,0,1,0,1,0
quarkus-application,com.epita.exchange.utils,Converter,17,0,2,0,4,0,3,0,2,0
quarkus-application,com.epita.repo_user.repository,UserRepository,14,0,0,0,2,0,2,0,2,0
quarkus-application,com.epita.exchange.auth.service,AuthService,35,0,4,0,7,0,6,0,4,0
quarkus-application,com.epita.exchange.auth.service,AuthFilter,98,3,12,0,20,1,8,1,2,1
quarkus-application,com.epita.exchange.auth.service,AuthContext,7,3,0,0,3,1,2,1,2,1
quarkus-application,com.epita.repo_user.controller.response,UserLoginResponse,36,0,0,0,6,0,8,0,8,0
