GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
quarkus-application,com.epita.srvc_home_timeline,HomeTimelineErrorCode,57,0,4,0,13,0,7,0,5,0
quarkus-application,com.epita.exchange.error,ErrorCode.RuntimeError,41,0,0,0,9,0,6,0,6,0
quarkus-application,com.epita.exchange.error,ErrorCode,11,0,0,0,2,0,2,0,2,0
quarkus-application,com.epita.exchange.auth.service.entity,AuthEntity,115,9,22,0,5,1,20,1,9,1
quarkus-application,com.epita.exchange.redis.service,RedisPublisher,49,0,0,0,13,0,3,0,3,0
quarkus-application,com.epita.srvc_home_timeline.controller,HomeTimelineController,14,0,0,0,3,0,2,0,2,0
quarkus-application,com.epita.exchange.s3.service,S3Service,214,0,4,0,46,0,9,0,7,0
quarkus-application,com.epita.srvc_home_timeline.controller.response,HomeTimelineResponse,27,0,2,0,4,0,6,0,5,0
quarkus-application,com.epita.srvc_home_timeline.service,HomeTimelineService,770,45,69,1,206,12,55,3,20,3
quarkus-application,com.epita.exchange.error.controller.response,ErrorResponse,21,0,0,0,4,0,4,0,4,0
quarkus-application,com.epita.exchange.redis.command,FollowCommand,60,0,0,0,9,0,12,0,12,0
quarkus-application,com.epita.exchange.redis.command,LikeCommand.LikeCommandBuilder,54,0,0,0,1,0,8,0,8,0
quarkus-application,com.epita.exchange.redis.command,LikeCommand,72,0,0,0,10,0,14,0,14,0
quarkus-application,com.epita.exchange.redis.command,FollowCommand.FollowCommandBuilder,45,0,0,0,1,0,7,0,7,0
quarkus-application,com.epita.exchange.redis.command,BlockCommand,60,0,0,0,9,0,12,0,12,0
quarkus-application,com.epita.exchange.redis.command,BlockCommand.BlockCommandBuilder,45,0,0,0,1,0,7,0,7,0
quarkus-application,com.epita.exchange.error.service,RuntimeExceptionMapper,18,0,0,0,7,0,2,0,2,0
quarkus-application,com.epita.exchange.error.service,GlobalErrorMapper,6,0,0,0,2,0,2,0,2,0
quarkus-application,com.epita.exchange.redis.aggregate,PostAggregate.PostAggregateBuilder,108,0,0,0,1,0,14,0,14,0
quarkus-application,com.epita.exchange.redis.aggregate,UserAggregate,293,70,18,0,2,12,24,16,15,16
quarkus-application,com.epita.exchange.redis.aggregate,UserAggregate.UserAggregateBuilder,90,0,0,0,1,0,12,0,12,0
quarkus-application,com.epita.exchange.redis.aggregate,PostAggregate,485,0,22,0,16,0,48,0,37,0
quarkus-application,com.epita.srvc_home_timeline.repository,HomeTimelineRepository,56,18,0,0,8,4,6,3,6,3
quarkus-application,com.epita.srvc_home_timeline.repository,HomeTimelinePostRepository,27,3,0,0,7,1,4,1,4,1
quarkus-application,com.epita.exchange.utils,Logger,4,0,0,0,1,0,1,0,1,0
quarkus-application,com.epita.exchange.utils,Converter,17,0,2,0,4,0,3,0,2,0
quarkus-application,com.epita.srvc_home_timeline.controller.subscribers,LikeCommandSubscriber,32,22,2,0,9,5,4,1,3,1
quarkus-application,com.epita.srvc_home_timeline.controller.subscribers,UserAggregateSubscriber,10,40,1,1,3,11,2,3,1,3
quarkus-application,com.epita.srvc_home_timeline.controller.subscribers,FollowCommandSubscriber,32,22,2,0,9,5,4,1,3,1
quarkus-application,com.epita.srvc_home_timeline.controller.subscribers,BlockCommandSubscriber,32,22,2,0,9,5,4,1,3,1
quarkus-application,com.epita.srvc_home_timeline.controller.subscribers,PostAggregateSubscriber,18,22,0,0,7,5,3,1,3,1
quarkus-application,com.epita.srvc_home_timeline.repository.model,HomeTimelinePostModel,457,0,22,0,14,0,46,0,35,0
quarkus-application,com.epita.srvc_home_timeline.repository.model,HomeTimelineModel.HomeTimelineEntryModel,192,0,12,0,9,0,26,0,20,0
quarkus-application,com.epita.srvc_home_timeline.repository.model,HomeTimelineModel,147,45,12,0,1,8,13,13,7,13
quarkus-application,com.epita.srvc_home_timeline.repository.model,HomeTimelineModel.HomeTimelineLikedByModel,52,0,4,0,5,0,10,0,8,0
quarkus-application,com.epita.srvc_home_timeline.converter,HomeTimelinePostModelToHomeTimelinePostEntity,37,3,0,0,12,1,1,1,1,1
quarkus-application,com.epita.srvc_home_timeline.converter,HomeTimelineModelToHomeTimelineEntity,97,3,8,0,33,1,9,1,5,1
quarkus-application,com.epita.srvc_home_timeline.converter,HomeTimelineEntityToHomeTimelineModel,89,3,8,0,29,1,7,1,3,1
quarkus-application,com.epita.srvc_home_timeline.service.entity,HomeTimelinePostEntity,826,0,108,0,15,0,93,0,39,0
quarkus-application,com.epita.srvc_home_timeline.service.entity,HomeTimelineEntity.HomeTimelineEntryEntity,422,0,66,0,10,0,57,0,24,0
quarkus-application,com.epita.srvc_home_timeline.service.entity,HomeTimelineEntity,348,0,56,0,9,0,49,0,21,0
quarkus-application,com.epita.srvc_home_timeline.service.entity,HomeTimelineEntity.HomeTimelineLikedByEntity,150,0,26,0,6,0,25,0,12,0
quarkus-application,com.epita.exchange.auth.service,AuthService,25,10,4,0,5,2,5,1,3,1
quarkus-application,com.epita.exchange.auth.service,AuthFilter,98,3,12,0,20,1,8,1,2,1
quarkus-application,com.epita.exchange.auth.service,AuthContext,3,7,0,0,1,3,1,2,1,2
