GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
quarkus-application,com.epita.repo_user.controller,RepoUserController,0,108,0,0,0,20,0,8,0,8
quarkus-application,com.epita.exchange.error,ErrorCode.RuntimeError,6,35,0,0,2,7,2,4,2,4
quarkus-application,com.epita.exchange.error,ErrorCode,0,11,0,0,0,2,0,2,0,2
quarkus-application,com.epita.repo_user.converter,UserModelToUserAggregateConverter,0,32,0,0,0,10,0,2,0,2
quarkus-application,com.epita.repo_user.converter,UserModelToUserEntityConverter,0,32,0,0,0,10,0,2,0,2
quarkus-application,com.epita.exchange.auth.service.entity,AuthEntity,112,12,22,0,4,2,19,2,8,2
quarkus-application,com.epita.exchange.redis.service,RedisPublisher,20,29,0,0,5,8,1,2,1,2
quarkus-application,com.epita.exchange.s3.service,S3Service,131,128,4,2,32,28,6,5,3,5
quarkus-application,com.epita.repo_user.controller.request,LoginRequest,35,17,4,0,1,4,5,5,3,5
quarkus-application,com.epita.repo_user.controller.request,CreateUserRequest,57,24,6,0,1,5,7,7,4,7
quarkus-application,com.epita.repo_user.controller.request,UploadImageRequest,20,6,0,0,3,2,4,2,4,2
quarkus-application,com.epita.repo_user.controller.request,ModifyUserRequest,57,24,6,0,1,5,7,7,4,7
quarkus-application,com.epita.exchange.error.controller.response,ErrorResponse,0,21,0,0,0,4,0,4,0,4
quarkus-application,com.epita.exchange.redis.command,FollowCommand,60,0,0,0,9,0,12,0,12,0
quarkus-application,com.epita.exchange.redis.command,LikeCommand.LikeCommandBuilder,45,0,0,0,1,0,7,0,7,0
quarkus-application,com.epita.exchange.redis.command,LikeCommand,60,0,0,0,9,0,12,0,12,0
quarkus-application,com.epita.exchange.redis.command,FollowCommand.FollowCommandBuilder,45,0,0,0,1,0,7,0,7,0
quarkus-application,com.epita.exchange.redis.command,BlockCommand,60,0,0,0,9,0,12,0,12,0
quarkus-application,com.epita.exchange.redis.command,BlockCommand.BlockCommandBuilder,45,0,0,0,1,0,7,0,7,0
quarkus-application,com.epita.repo_user.service,UserService,101,302,14,16,9,70,18,8,4,7
quarkus-application,com.epita.repo_user.service.entity,UserEntity,343,226,72,10,2,10,51,20,12,18
quarkus-application,com.epita.exchange.error.service,RuntimeExceptionMapper,18,0,0,0,7,0,2,0,2,0
quarkus-application,com.epita.exchange.error.service,GlobalErrorMapper,0,6,0,0,0,2,0,2,0,2
quarkus-application,com.epita.repo_user.repository.model,UserModel,33,69,0,0,1,11,1,19,1,19
quarkus-application,com.epita.exchange.redis.aggregate,PostAggregate.PostAggregateBuilder,108,0,0,0,1,0,14,0,14,0
quarkus-application,com.epita.exchange.redis.aggregate,UserAggregate,97,266,7,11,3,11,18,22,12,19
quarkus-application,com.epita.exchange.redis.aggregate,UserAggregate.UserAggregateBuilder,90,0,0,0,1,0,12,0,12,0
quarkus-application,com.epita.exchange.redis.aggregate,PostAggregate,485,0,22,0,16,0,48,0,37,0
quarkus-application,com.epita.repo_user,RepoUserErrorCode,11,86,3,1,2,16,3,4,1,4
quarkus-application,com.epita.exchange.utils,Logger,0,4,0,0,0,1,0,1,0,1
quarkus-application,com.epita.exchange.utils,Converter,17,0,2,0,4,0,3,0,2,0
quarkus-application,com.epita.repo_user.repository,UserRepository,0,14,0,0,0,2,0,2,0,2
quarkus-application,com.epita.exchange.auth.service,AuthService,12,23,3,1,2,5,3,3,1,3
quarkus-application,com.epita.exchange.auth.service,AuthFilter,10,85,2,8,2,18,2,6,0,3
quarkus-application,com.epita.exchange.auth.service,AuthContext,0,10,0,0,0,4,0,3,0,3
quarkus-application,com.epita.repo_user.controller.response,UserLoginResponse,15,21,0,0,2,4,4,4,4,4
