GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
quarkus-application,com.epita.srvc_search.controller.request,SearchRequest,17,10,2,0,1,3,3,3,2,3
quarkus-application,com.epita.exchange.error,ErrorCode.RuntimeError,41,0,0,0,9,0,6,0,6,0
quarkus-application,com.epita.exchange.error,ErrorCode,11,0,0,0,2,0,2,0,2,0
quarkus-application,com.epita.srvc_search.converter,PostAggregateToSearchEntity,0,29,0,0,0,9,0,2,0,2
quarkus-application,com.epita.exchange.auth.service.entity,AuthEntity,112,12,22,0,4,2,19,2,8,2
quarkus-application,com.epita.exchange.redis.service,RedisPublisher,20,29,0,0,5,8,1,2,1,2
quarkus-application,com.epita.srvc_search.repository,SearchRepository,78,14,6,0,14,2,6,2,3,2
quarkus-application,com.epita.srvc_search.service.entity,SearchEntity,483,275,99,7,1,13,60,29,7,29
quarkus-application,com.epita.exchange.s3.service,S3Service,259,0,6,0,60,0,11,0,8,0
quarkus-application,com.epita.srvc_search.controller,SrvcSearchController,0,18,0,0,0,4,0,2,0,2
quarkus-application,com.epita.srvc_search.controller,RedisSubscriber,10,76,0,2,3,18,1,4,1,3
quarkus-application,com.epita.exchange.error.controller.response,ErrorResponse,21,0,0,0,4,0,4,0,4,0
quarkus-application,com.epita.srvc_search,SrvcSearchErrorCode,73,0,4,0,15,0,7,0,5,0
quarkus-application,com.epita.exchange.redis.command,FollowCommand,60,0,0,0,9,0,12,0,12,0
quarkus-application,com.epita.exchange.redis.command,LikeCommand.LikeCommandBuilder,45,0,0,0,1,0,7,0,7,0
quarkus-application,com.epita.exchange.redis.command,LikeCommand,60,0,0,0,9,0,12,0,12,0
quarkus-application,com.epita.exchange.redis.command,FollowCommand.FollowCommandBuilder,45,0,0,0,1,0,7,0,7,0
quarkus-application,com.epita.exchange.redis.command,BlockCommand,60,0,0,0,9,0,12,0,12,0
quarkus-application,com.epita.exchange.redis.command,BlockCommand.BlockCommandBuilder,45,0,0,0,1,0,7,0,7,0
quarkus-application,com.epita.exchange.error.service,RuntimeExceptionMapper,18,0,0,0,7,0,2,0,2,0
quarkus-application,com.epita.exchange.error.service,GlobalErrorMapper,6,0,0,0,2,0,2,0,2,0
quarkus-application,com.epita.exchange.redis.aggregate,PostAggregate.PostAggregateBuilder,108,0,0,0,1,0,14,0,14,0
quarkus-application,com.epita.exchange.redis.aggregate,UserAggregate,363,0,18,0,14,0,40,0,31,0
quarkus-application,com.epita.exchange.redis.aggregate,UserAggregate.UserAggregateBuilder,90,0,0,0,1,0,12,0,12,0
quarkus-application,com.epita.exchange.redis.aggregate,PostAggregate,381,104,22,0,2,14,24,24,13,24
quarkus-application,com.epita.srvc_search.service,SearchService,80,43,8,2,17,10,8,4,3,4
quarkus-application,com.epita.srvc_search.service,ElasticSearchService,13,130,1,1,4,30,1,13,0,13
quarkus-application,com.epita.exchange.utils,Logger,0,4,0,0,0,1,0,1,0,1
quarkus-application,com.epita.exchange.utils,Converter,17,0,2,0,4,0,3,0,2,0
quarkus-application,com.epita.srvc_search.repository.model,SearchModel,36,0,0,0,6,0,8,0,8,0
quarkus-application,com.epita.exchange.auth.service,AuthService,12,23,3,1,2,5,3,3,1,3
quarkus-application,com.epita.exchange.auth.service,AuthFilter,21,80,7,5,4,17,6,3,0,3
quarkus-application,com.epita.exchange.auth.service,AuthContext,0,10,0,0,0,4,0,3,0,3
