GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
quarkus-application,com.epita.srvc_user_timeline.controller,UserTimelineController,0,16,0,0,0,4,0,2,0,2
quarkus-application,com.epita.srvc_user_timeline.repository,UserTimelineRepository,0,3,0,0,0,1,0,1,0,1
quarkus-application,com.epita.exchange.error,ErrorCode.RuntimeError,41,0,0,0,9,0,6,0,6,0
quarkus-application,com.epita.exchange.error,ErrorCode,11,0,0,0,2,0,2,0,2,0
quarkus-application,com.epita.srvc_user_timeline.service.entity,UserTimelineEntity,6,21,1,1,1,3,2,4,1,4
quarkus-application,com.epita.srvc_user_timeline.service.entity,UserTimelinePostEntity,178,413,11,15,1,15,24,30,13,28
quarkus-application,com.epita.exchange.auth.service.entity,AuthEntity,115,9,22,0,5,1,20,1,9,1
quarkus-application,com.epita.exchange.redis.service,RedisPublisher,49,0,0,0,13,0,3,0,3,0
quarkus-application,com.epita.exchange.s3.service,S3Service,259,0,6,0,60,0,11,0,8,0
quarkus-application,com.epita.srvc_user_timeline.controller.contract,UserTimelinePostResponse,178,419,11,15,1,15,24,30,13,28
quarkus-application,com.epita.srvc_user_timeline.controller.contract,UserTimelineResponse,6,21,1,1,1,3,2,4,1,4
quarkus-application,com.epita.exchange.error.controller.response,ErrorResponse,21,0,0,0,4,0,4,0,4,0
quarkus-application,com.epita.exchange.redis.command,FollowCommand,60,0,0,0,9,0,12,0,12,0
quarkus-application,com.epita.exchange.redis.command,LikeCommand.LikeCommandBuilder,45,0,0,0,1,0,7,0,7,0
quarkus-application,com.epita.exchange.redis.command,LikeCommand,33,27,0,0,3,6,4,8,4,8
quarkus-application,com.epita.exchange.redis.command,FollowCommand.FollowCommandBuilder,45,0,0,0,1,0,7,0,7,0
quarkus-application,com.epita.exchange.redis.command,BlockCommand,33,27,0,0,3,6,4,8,4,8
quarkus-application,com.epita.exchange.redis.command,BlockCommand.BlockCommandBuilder,45,0,0,0,1,0,7,0,7,0
quarkus-application,com.epita.srvc_user_timeline.service,UserTimelineService,42,221,8,10,8,56,7,10,0,8
quarkus-application,com.epita.exchange.error.service,RuntimeExceptionMapper,18,0,0,0,7,0,2,0,2,0
quarkus-application,com.epita.exchange.error.service,GlobalErrorMapper,6,0,0,0,2,0,2,0,2,0
quarkus-application,com.epita.exchange.redis.aggregate,PostAggregate.PostAggregateBuilder,108,0,0,0,1,0,14,0,14,0
quarkus-application,com.epita.exchange.redis.aggregate,UserAggregate,325,38,18,0,3,11,28,12,19,12
quarkus-application,com.epita.exchange.redis.aggregate,UserAggregate.UserAggregateBuilder,90,0,0,0,1,0,12,0,12,0
quarkus-application,com.epita.exchange.redis.aggregate,PostAggregate,421,64,22,0,3,13,29,19,18,19
quarkus-application,com.epita.srvc_user_timeline,UserTimelineErrorCode,65,0,4,0,14,0,7,0,5,0
quarkus-application,com.epita.srvc_user_timeline.controller.subscribers,UserAggregateSubscriber,4,36,0,0,2,10,1,3,1,3
quarkus-application,com.epita.srvc_user_timeline.controller.subscribers,LikeCommandSubscriber,4,36,0,0,2,10,1,3,1,3
quarkus-application,com.epita.srvc_user_timeline.controller.subscribers,BlockCommandSubscriber,4,36,0,0,2,10,1,3,1,3
quarkus-application,com.epita.srvc_user_timeline.controller.subscribers,PostAggregateSubscriber,4,36,0,0,2,10,1,3,1,3
quarkus-application,com.epita.exchange.utils,Logger,0,4,0,0,0,1,0,1,0,1
quarkus-application,com.epita.exchange.utils,Converter,17,0,2,0,4,0,3,0,2,0
quarkus-application,com.epita.srvc_user_timeline.converter,UserTimelineEntityToUserTimelineResponse,0,20,0,0,0,4,0,3,0,3
quarkus-application,com.epita.srvc_user_timeline.converter,UserTimelinePostModelToUserTimelinePostEntity,0,46,0,0,0,15,0,2,0,2
quarkus-application,com.epita.srvc_user_timeline.converter,UserTimelinePostEntityToUserTimelinePostResponse,0,47,0,0,0,15,0,2,0,2
quarkus-application,com.epita.srvc_user_timeline.repository.model,UserTimelinePostModel,142,449,13,13,0,16,16,38,3,38
quarkus-application,com.epita.exchange.auth.service,AuthService,25,10,4,0,5,2,5,1,3,1
quarkus-application,com.epita.exchange.auth.service,AuthFilter,21,80,7,5,4,17,6,3,0,3
quarkus-application,com.epita.exchange.auth.service,AuthContext,3,7,0,0,1,3,1,2,1,2
